HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FINOBJ_BENE_TYP_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACTV_IND::VARCHAR~&~	~&~LBR_BEN_RT_CAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2000'~&~	~&~'F'~&~	~&~'3ED7BBE4-0474-9D9A-D0AA-DF1FDF7F0391'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2000'~&~	~&~'G'~&~	~&~'844A52B1-79A0-0E57-AFEA-350FC3158F77'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2000'~&~	~&~'R'~&~	~&~'9290B6E4-AC90-06A9-2264-7EB9C6DFADA6'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2001'~&~	~&~'F'~&~	~&~'B736340D-926D-ECDD-2D47-1C5F5450AAC1'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2001'~&~	~&~'G'~&~	~&~'BF66FB0E-34A5-35AA-19E4-8E73D8426DC3'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2001'~&~	~&~'R'~&~	~&~'7A0A1052-74DA-AFBB-AD81-898E18E0CCC9'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2002'~&~	~&~'E'~&~	~&~'E36D0234-B3CA-7F1D-AA20-D1EBFE104E6D'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2002'~&~	~&~'F'~&~	~&~'0714B0C4-1A74-A4F0-948E-B1C1A2377709'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2002'~&~	~&~'G'~&~	~&~'7A309668-8A60-9FF7-A1A9-B33841ABD1AA'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2003'~&~	~&~'F'~&~	~&~'7CC60912-78C1-9A5C-ECC4-FDAA63A78A19'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2003'~&~	~&~'G'~&~	~&~'1FB463CD-4B1D-DFEB-29FA-250020DD9AD5'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2003'~&~	~&~'R'~&~	~&~'FDD8E43B-0917-460D-7628-8A1B82A8BA8D'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2004'~&~	~&~'E'~&~	~&~'E0B4C9D0-9F8D-B688-86C7-7C6AB6DE9D25'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2004'~&~	~&~'F'~&~	~&~'33C29D3D-DE92-281E-D617-28705CDA2FC1'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2004'~&~	~&~'G'~&~	~&~'53D83068-C679-307C-A05D-EE369035E41D'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2005'~&~	~&~'F'~&~	~&~'60CBA1B1-58EC-19F3-3770-974A4CF0862C'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2005'~&~	~&~'G'~&~	~&~'1F8F2FAF-B6C6-A023-231B-B71EE5246540'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2005'~&~	~&~'R'~&~	~&~'FDA1D25A-493F-A94E-1F34-C80B110AC8F2'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2010'~&~	~&~'F'~&~	~&~'6DE2CA72-2847-5695-32B3-1C8C8D02F026'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2010'~&~	~&~'G'~&~	~&~'395CED5C-A140-5B0B-4ACF-8C487193471D'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'2170'~&~	~&~'F'~&~	~&~'23ECDCA8-39DA-2140-33D5-E542F16C8AA7'~&~	~&~'1'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
