HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~FIN_BALANCE_TYP_CD::VARCHAR~&~	~&~FIN_OBJ_TYP_CD::VARCHAR~&~	~&~POSITION_NBR::VARCHAR~&~	~&~EMPLID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACLN_ANNL_BAL_AMT::DECIMAL~&~	~&~FIN_BEG_BAL_LN_AMT::DECIMAL~&~	~&~CONTR_GR_BB_AC_AMT::DECIMAL~&~	~&~MO1_ACCT_LN_AMT::DECIMAL~&~	~&~MO2_ACCT_LN_AMT::DECIMAL~&~	~&~MO3_ACCT_LN_AMT::DECIMAL~&~	~&~MO4_ACCT_LN_AMT::DECIMAL~&~	~&~MO5_ACCT_LN_AMT::DECIMAL~&~	~&~MO6_ACCT_LN_AMT::DECIMAL~&~	~&~MO7_ACCT_LN_AMT::DECIMAL~&~	~&~MO8_ACCT_LN_AMT::DECIMAL~&~	~&~MO9_ACCT_LN_AMT::DECIMAL~&~	~&~MO10_ACCT_LN_AMT::DECIMAL~&~	~&~MO11_ACCT_LN_AMT::DECIMAL~&~	~&~MO12_ACCT_LN_AMT::DECIMAL~&~	~&~MO13_ACCT_LN_AMT::DECIMAL~&~	~&~TIMESTAMP::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'A2'~&~	~&~'EX'~&~	~&~'00014789'~&~	~&~'0000026435'~&~	~&~'531CC9D0E2026831E0404F8189D83280'~&~	~&~'1'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'-1155.05'~&~	~&~'-1155.05'~&~	~&~'0.00'~&~	~&~'2310.10'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'A2'~&~	~&~'EX'~&~	~&~'00019196'~&~	~&~'0000026435'~&~	~&~'531CC9D0E2036831E0404F8189D83280'~&~	~&~'1'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'204.17'~&~	~&~'-204.17'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00009529'~&~	~&~'0000000082'~&~	~&~'531CC9D0E2046831E0404F8189D83280'~&~	~&~'1'~&~	~&~'34935.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'3493.50'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00014789'~&~	~&~'0000026435'~&~	~&~'531CC9D0E2056831E0404F8189D83280'~&~	~&~'1'~&~	~&~'23304.89'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'4484.32'~&~	~&~'4484.32'~&~	~&~'3329.27'~&~	~&~'1019.17'~&~	~&~'3329.27'~&~	~&~'3329.27'~&~	~&~'3329.27'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00015213'~&~	~&~'0000027167'~&~	~&~'531CC9D0E2066831E0404F8189D83280'~&~	~&~'1'~&~	~&~'27168.90'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'2716.89'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00017659'~&~	~&~'0000072684'~&~	~&~'531CC9D0E2076831E0404F8189D83280'~&~	~&~'1'~&~	~&~'16200.80'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'1620.08'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00019196'~&~	~&~'0000026435'~&~	~&~'531CC9D0E20A6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'10804.46'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'3737.60'~&~	~&~'3533.43'~&~	~&~'3533.43'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00019196'~&~	~&~'0000092426'~&~	~&~'531CC9D0E2086831E0404F8189D83280'~&~	~&~'1'~&~	~&~'35743.05'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00022120'~&~	~&~'0000223771'~&~	~&~'531CC9D0E2096831E0404F8189D83280'~&~	~&~'1'~&~	~&~'30711.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'3071.10'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'AC'~&~	~&~'EX'~&~	~&~'00030851'~&~	~&~'0000092426'~&~	~&~'531CC9D0E20B6831E0404F8189D83280'~&~	~&~'1'~&~	~&~'15318.45'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'5106.15'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'0.00'~&~	~&~'200705021658290000'~&~	~&~]RECORD
