HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_AUTO_PO_LMT::DECIMAL~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'ABDR'~&~	~&~'24E6069F87CAA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACAC'~&~	~&~'24E6069F87CBA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACPR'~&~	~&~'24E6069F87CCA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACSH'~&~	~&~'24E6069F87CDA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ACSS'~&~	~&~'24E6069F87CEA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAC'~&~	~&~'24E6069F87CFA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAF'~&~	~&~'24E6069F87D0A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAH'~&~	~&~'24E6069F87D1A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADAO'~&~	~&~'24E6069F87D2A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADFE'~&~	~&~'24E6069F87D3A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADGE'~&~	~&~'24E6069F87D4A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ADSH'~&~	~&~'24E6069F87D5A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AHDU'~&~	~&~'24E6069F87D6A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'APTS'~&~	~&~'24E6069F87D7A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASBR'~&~	~&~'24E6069F87D8A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASDR'~&~	~&~'24E6069F87D9A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASER'~&~	~&~'24E6069F87DAA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASGE'~&~	~&~'24E6069F87DBA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASSH'~&~	~&~'24E6069F87DCA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'ASSP'~&~	~&~'24E6069F87DDA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AUTM'~&~	~&~'24E6069F87DEA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AWSH'~&~	~&~'24E6069F87DFA19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'AXOP'~&~	~&~'24E6069F87E0A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BBAH'~&~	~&~'24E6069F87E1A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BBBR'~&~	~&~'24E6069F87E2A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'BBER'~&~	~&~'24E6069F87E3A19EE043814FD881A19E'~&~	~&~'1'~&~	~&~'5000.00'~&~	~&~'Y'~&~	~&~]RECORD
