HEADER[~&~	~&~EXP_TYP_OBJ_CD_ID::DECIMAL~&~	~&~EXP_TYP_CD::VARCHAR~&~	~&~TRIP_TYP_CD::VARCHAR~&~	~&~TRAVELER_TYP_CD::VARCHAR~&~	~&~DOC_TYP_NM::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~MAX_AMT::DECIMAL~&~	~&~MAX_AMT_SUM_CD::VARCHAR~&~	~&~ERR_TYP_CD::VARCHAR~&~	~&~NOTE_REQ_IND::VARCHAR~&~	~&~RCPT_REQ_IND::VARCHAR~&~	~&~RCPT_REQ_THRSH::DECIMAL~&~	~&~TAXABLE_IND::VARCHAR~&~	~&~SPCL_RQST_REQ_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'1'~&~	~&~'A'~&~	~&~'All'~&~	~&~'NON'~&~	~&~'TRV'~&~	~&~'E5F6CDEF28D79C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'4089'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2'~&~	~&~'A'~&~	~&~'All'~&~	~&~'All'~&~	~&~'RELO'~&~	~&~'E5F6CDEF28D89C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'5070'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'3'~&~	~&~'A'~&~	~&~'All'~&~	~&~'EMP'~&~	~&~'TRV'~&~	~&~'E5F6CDEF28D99C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'6000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'4'~&~	~&~'A'~&~	~&~'OUT'~&~	~&~'EMP'~&~	~&~'TRV'~&~	~&~'E5F6CDEF28DA9C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'6100'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'5'~&~	~&~'A'~&~	~&~'INT'~&~	~&~'EMP'~&~	~&~'TRV'~&~	~&~'E5F6CDEF28DB9C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'6200'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'6'~&~	~&~'AL'~&~	~&~'All'~&~	~&~'All'~&~	~&~'TT'~&~	~&~'E5F6CDEF28DC9C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'5073'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'7'~&~	~&~'B'~&~	~&~'All'~&~	~&~'All'~&~	~&~'RELO'~&~	~&~'E5F6CDEF28DD9C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'5070'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'8'~&~	~&~'B'~&~	~&~'All'~&~	~&~'All'~&~	~&~'ENT'~&~	~&~'E5F6CDEF28DE9C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'5073'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'9'~&~	~&~'B'~&~	~&~'All'~&~	~&~'All'~&~	~&~'TR'~&~	~&~'E5F6CDEF28DF9C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'6000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'10'~&~	~&~'B'~&~	~&~'OUT'~&~	~&~'All'~&~	~&~'TR'~&~	~&~'E5F6CDEF28E09C30E040E00ABCD67549'~&~	~&~'1'~&~	~&~'6100'~&~	~&~'64.00'~&~	~&~'D'~&~	~&~'1'~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~'Y'~&~	~&~]RECORD
